Name	Set	ImageFile	Type	Scare_Threshold	Rarity	CardText
Christmas Town Gates	ChristmasTown	christmas_town_gates	Surprises	0	Common	Place this Surprise on the table as part of your Christmas Town. All Characters in your Christmas Town may ignore any Surprises played by your opponents. Devil cannot draw a card when one of your Christmas Characters is discarded.
Christmas Tree Bats	Premiere	christmas_tree_bats	Creations	3	Uncommon	-2 Cost if Corpse Mom and the Bass Player are at the same Locale in your Halloweentown.
Chucky the Elf	ChristmasTown	chucky	Character	0	Common	If Chucky is played to the Candy Shop, Draw 1 Card
Claw Catapult	ChristmasTown	claw_catapult	Creations	3	Rare	If Lock, Shock, and Barren are in your Halloweentown when this Creation is played, move a Character in an opponent’s Halloweentown up to three Locales away.
Clown	Premiere	clown	Character	2	Uncommon	During your turn, you may discard the Clown from play, and then discard an opponent’s Character with a Scare Number of 1 from play.
Conversations Worth Having	ChristmasTown	conversations	Surprises	1	Rare	Search 5, Finklestein, Jewel OR Stack this Surprise on your Finklestein, and then, if Jewel is at his Locale, Search Discard Pile, 1 Card
Cookie Factory	ChristmasTown	cookie_factory	Locale	2	Uncommon	BONUS: During your turn, you may discard a Creation from your hand to Draw 1 Card.
Corpse Dad	Premiere	corpse_dad	Character	1	Uncommon	When Corpse Dad is played, Add 1p for every other Character at his Locale with the word “Corpse” in his or her name.
Corpse Family Bonding	ChristmasTown	corpse_family_bonding	Surprises	1	Common	Search 4, The “Corpse” Family OR If your Corpse Dad, Corpse Mom, and Corpse Kid are at 3 different Locales, move them all to any one Locale in your Halloweentown, and Add 3p
Corpse Kid	Premiere	corpse_kid	Character	2	Common	HEX: Once during your turn, after you play a Surprise, you may discard 1 card from your hand to Add 1p
Corpse Mom	Premiere	corpse_mom	Character	1	Uncommon	When Corpse Mom is played, Add 1p for every other Character at her Locale with the word “Corpse” in his or her name
Cute Puppy	ChristmasTown	cute_puppy	Creations	-3	Common	Play this Creation to an opponent’s Halloweentown. Cost = 3 (-1 for each Active Locale in your Christmas Town with a Joy Threshold of 2 or higher).
Cyclops	Premiere	cyclops	Character	1	Common	When the Cyclops is played, you may discard 1 card from your hand to Draw 1 Card.
Dark Alley	Premiere	dark_alley	Surprises	1	Rare	Search 5, Wolfman, Decomposing Guy, Harlequinn Demon OR If Wolfman, Decomposing Guy, and Harlequinn Demon are in play, flip an opponent’s Locale face down (out of play) until the End Phase.
Dead Head	Premiere	dead_head	Creations	3	Uncommon	When this Creation is played, if the Undersea Gal is in your Halloweentown, Search Discard Pile, 1 Card
Dead Rooster	ChristmasTown	dead_rooster	Character	1	Rare	During your turn, you may discard Dead Rooster from play to move any player’s Vampire to any other Locale in the same Halloweentown.
Deadly Nightshade	Premiere	deadly_nightshade	Surprises	0	Uncommon	Search 3, Sally OR If your Sally is in play, return an opponent’s Dr. Finkelstein to its owner’s hand.
Decomposing Guy	Premiere	decomposing_guy	Character	1	Common	During your turn, you may discard Decomposing Guy from play to Search 3, 1 Card.
Delightful Hat	Premiere	delightful_hat	Creations	4	Uncommon	When playing this Creation, if the Harlequinn Demon is in your Halloweentown, you may discard 1 card from your hand to reduce the Cost of this Creation by 2.
Demented Shadow	ChristmasTown	demented_shadow	Character	1	Uncommon	If the Demented Shadow is played to the Graveyard, you may immediately Draw 1 Card and Move 1 Card.
Depraved Offering	ChristmasTown	depraved_offering	Surprises	0	Uncommon	If your Oogie is at his Lair and your Lock, Shock, and Barrel are at the Tree House, discard any number of Christmas Characters who are at your Tree House from play.  Add 1p for each such Character discarded.
Devil	Premiere	devil	Character	2	Rare	Every time an opponent’s Character is discarded from play, Draw 1 Card.
Dissected Teddy	ChristmasTown	dissected_teddy	Creations	1	Uncommon	If your Jack is at his House when this Creation is played, Search Discard Pile, 1 Card. This Creation does not count when determining if you have “the most Creations.” “Making Christmas” cannot lower the Cost of this Creation.
Doll Factory	ChristmasTown	doll_factory	Locale	3	Uncommon	BONUS: Whenever you play a Creation, Draw 1 Card.
Domain of Shadows	ChristmasTown	domain_of_shadows	Surprises	1	Rare	Search 6, “Shadows” OR If 3 Characters with the word “Shadow” in their name are at your Graveyard, Add 3p
Double Dead	Premiere	double_dead	Surprises	0	Common	Name a Card Title. All players must reveal all copies of that Card Title in their discard piles, and then remove the revealed cards from the game.
Dr. Finklestein - Brainy Inventor	Premiere	finklestein2	Character	2	Ultra-Rare	HEX: Once during your turn, if Finklestein is at Finklestein Hall, you may discard 1 of your Creations in play to draw a number of cards equal to its Scare Number.
Dr. Finklestein - Desperate Lover	ChristmasTown	finklestein3	Character	2	Rare	HEX: Once during your turn, if Finklestein is not at the same Locale as your Sally, you may move him to her Locale (for free) and then Draw 1 Card.
Dr. Finklestein - Mad Scientist	Premiere	finklestein1	Character	2	Common	While Finklestein is at the Laboratory, draw 1 card each time you play a Creation.
Droopy Cane	ChristmasTown	droopy_cane	Creations	1	Uncommon	If your Jack is at his House when this Creation is played, Draw 1 Card. This Creation does not count when determining if you have “the most Creations.” “Making Christmas” cannot lower the Cost of this Creation.
Eager Anaconda	Premiere	eager_anaconda	Creations	5	Rare	When playing this Creation, you may discard Corpse Dad (or 2 other Characters) from your Halloweentown to reduce the Cost of this Creation by 3.
Easter Bunny	Premiere	easter_bunny	Character	-1	Rare	This card may be played for a Cost of 2 to an opponent’s non-Starting Locale, or for free to one of your Locales. Cannot Move.
Easter Door	ChristmasTown	easter_door	Surprises	0	Common	Search 6, Easter Bunny OR Discard any player’s Easter Bunny from play, and then Draw 2 Cards.
Eddy the Elf	ChristmasTown	eddy	Character	0	Common	When Eddy is played, every player may immediately Draw 1 Card.
Electric Lights	ChristmasTown	electric_lights	Surprises	0	Common	Search 6, Jack OR Move your Jack from one Christmas Town Locale to another of your Christmas Town Locales.
Elven Bedchamber	ChristmasTown	elven_bedchamber	Locale	4	Rare	BONUS: Whenever an Elf is discarded from your Christmas Town, Draw 1 Card.
Eureka!	Premiere	eureka	Surprises	0	Rare	If Jack is at his House in your Halloweentown, you may remove any number of Pumpkin Points from your Pumpkin Points card (all at once) to draw a number of cards equal to the number of Pumpkin Points removed.
Everybody make a scene	Tournament	everybody_make_a_scene	Surprises	2	Fixed	Draw 1 Card for every Active Locale in your Halloweentown with a Scare Threshold of 2 or higher (1 or higher if the Mayor is in your Halloweentown).
Everybody Scream!	Premiere	everybody_scream	Surprises	0	Rare	During your turn, play this card instead of performing a Function. Total up the Scare Numbers of all your Characters and divide by 4 (round down). You may divide by 3 if your Hanging Tree is in play. Add that many Pumpkin Points to your Pumpkin Points card.
Evil Eye	ChristmasTown	evil_eye	Surprises	1	Common	If Cyclops is in your Halloweentown, flip an opponent’s Character with a Scare Number of 2 or less face down (out of play) until the End Phase. The opponent cannot play that Character again for the rest of this Round.
Extendable Arm	ChristmasTown	extendable_arm	Creations	4	Ultra-Rare	If your Clown is at Town Hall, you may play this Creation to your opponent’s Halloweentown, and then steal one Creation from that opponent’s Halloweentown and place it in your own.
Eyes Glowing Red	ChristmasTown	eyes_glowing_red	Surprises	0	Uncommon	Search 6, Monster under the Bed OR If the Monster under the Bed is at your Scary Bed, discard any number of cards from beneath your Scary Bed. Add 1p for each such card discarded.
Falling to Pieces	ChristmasTown	falling_to_pieces	Surprises	0	Rare	Search 3, Sally, Sally’s Arm, Sally’s Leg OR If Sally, Sally’s Arm, and Sally’s Leg are at three different Locales in your Halloweentown, Draw 2 Cards and Move 2 Cards.
Fear the Reaper	Premiere	fear_the_reaper	Surprises	1	Rare	Search 6, The Reaper OR Discard your Reaper from play, and then discard an opponent’s Character from play.
Fender Bender	Premiere	fender_bender	Creations	3	Uncommon	If Corpse Kid is in your Halloweentown when you play this Creation, send an opponent’s Creation with a Scare Number of 3 or less back into its owner’s hand.
Fetch	Premiere	fetch	Surprises	0	Common	Search 6, Zero OR If Jack and Zero are at the same Locale in your Halloweentown, Search 6, 1 Card
Fingers Like Snakes	ChristmasTown	fingers_like_snakes	Surprises	0	Uncommon	Search 6, Monster under the Stairs OR If the Monster under the Stairs is at your Scary Staircase, draw until you have 4 cards in your hand.
Finklestein Hall	Premiere	finklestein_hall	Locale	0*	Common	STARTING HAND: 7 Cards, FUNCTION: Draw 3 Cards, FUNCTION: Add 2p, FUNCTION: Move 2 Cards
Fire!	Premiere	fire	Surprises	5	Common	Discard an opponent’s Creation from play.
Formaldetoys	ChristmasTown	formaldetoys	Creations	1	Uncommon	If your Jack is at his House when this Creation is played, you may discard 1 card from your hand to Draw 2 Cards. This Creation does not count when determining if you have “the most Creations.” “Making Christmas” cannot lower the Cost of this Creation.
Frog's Breath	ChristmasTown	frogs_breath	Surprises	0	Common	Search 3, Sally OR If your Sally is in her Room, discard Deadly Nightshade from your hand, and then Draw 3 Cards.
Gate Keeper	Premiere	gate_keeper	Surprises	1	Rare	Discard an opponent’s Surprise which has been placed on the table (but not Stacked). OR Switch the positions of two empty Locales in any player’s Halloweentown.
Give It All Up	ChristmasTown	give_it_all_up	Surprises	1	Ultra-Rare	Stack this Surprise on your Jack, and then discard all other Surprises that are Stacked on Characters in all Halloweentowns. Draw 1 card for every Surprise discarded in this way.
Give Up the Ghost	ChristmasTown	give_up_the_ghost	Surprises	1	Rare	Move 1 or 2 of your Characters to your Pumpkin Patch. OR Draw 1 Character of your choice from beneath your Pumpkin Patch.
Grand Marshall	ChristmasTown	grand_marshall	Surprises	0	Common	Search 4, The “Hyde” Family OR Move a Character in your Halloweentown to the same Locale as one of your Characters with the word “Hyde” in his name.
Guillotine Area	ChristmasTown	guillotine_area	Locale	5	Uncommon	FUNCTION: Discard 1 Character from this Locale to Add 2p and force each opponent to discard 1 Character of his choice from his own Halloweentown.
Halloween Plans	Premiere	halloween_plans	Surprises	0	Common	Search 6, The Mayor OR If the Mayor is at your Mayor-mobile or at the same Locale as Jack in your Halloweentown, Draw 2 Cards
Halloweentown Bell	ChristmasTown	halloweentown_bell	Creations	5	Common	-2 Cost if the Mayor is at your Mayor-mobile., -1 Cost if the Mummy Boy is at the same Locale as your Mayor. These effects are cumulative.
Halloweentown Gates	Premiere	halloweentown_gates	Surprises	2	Uncommon	Place this card on the table as part of your Halloweentown. Whenever an opponent plays a Surprise that affects one of your Characters in play, you may immediately return this card to your hand to ignore that Surprise.
Hanging Tree	Premiere	hanging_tree	Character	3	Rare	When playing this card, you may discard Characters from your hand to reduce the Hanging Tree’s Cost by 1 for each Character discarded.
Harlequin Demon	Premiere	harlequin_demon	Character	2	Uncommon	-1 Cost at the Back Alley.
He can fit down here!	ChristmasTown	he_can_fit_down_here	Surprises	0	Uncommon	Move Lock, Shock and/or Barrel from your Oogie’s Lair to your Tree House. OR If Lock, Shock, and Barrel are in your Halloweentown, move your Sandy to your Oogie’s Lair.
Headhunter	ChristmasTown	headhunter	Surprises	1	Uncommon	Search 6, Undersea Gal OR If your Undersea Gal is in play, Search Discard Pile, 1 Surprise
Hello, Oogie	Premiere	hello_oogie	Surprises	3	Rare	If your Jack is in play, return an opponent’s Character to its owner’s hand. OR Discard an opponent’s Jack and Oogie if they are both in the same Halloweentown.
Here Comes Sandy Claws	ChristmasTown	here_comes_sandy	Creations	4	Rare	When this Creation is played, if The Bass and all 3 “Players” are in your Town Square, you may immediately play another Creation from your hand (for free).
Hiding Under Your Bed	Premiere	hiding_under_bed	Surprises	0	Rare	Discard all cards that are currently beneath your Scary Bed. OR If the Monster Under the Bed is at your Scary Bed, draw up to 2 cards of your choice from beneath your Scary Bed.
Hitch a Ride	Premiere	hitch_a_ride	Surprises	0	Common	Move any number of Characters from your Mayor-mobile to any one other Locale in your Halloweentown. OR Move any number of Characters from any one of your Locales to your Mayor-mobile.
Holly Jolly Roger	ChristmasTown	holly_jolly_roger	Creations	4	Common	When this Creation is played, if your Devil is in play, you may discard a Character with a Scare Number of 1 from an opponent’s Halloweentown.
House of Cards	Tournament	house_of_cards	Creations	2	Fixed	Add +2 to the Scare Number of the House of Cards for each card face down beneath it placed there through the use of “I Think I’ve Got It”.
How dare you!	ChristmasTown	how_dare_you	Surprises	0	Rare	During your opponent’s turn, after that opponent discards a Surprise into his Surprise Discard Pile, place this card on the table as part of your Halloweentown, and then grab the opponent’s Surprise and stack it on this card. That Surprise is now +1 Cost for all players.
Hyde and Seek	Premiere	hyde_and_seek	Surprises	0	Common	Search 4, The “Hyde” Family OR During an opponent’s turn, play this card to ignore a card that discards card(s) from your hand, and, if you also reveal a “Hyde” Character in your hand, Draw 2 Cards.
I am not the one	Premiere	i_am_not_the_one	Surprises	0	Rare	Search 3, 1 Surprise OR If Sally is in an opponent’s Halloweentown, move her to an adjacent Locale of your choice.
I am the Pumpkin King!	Premiere	i_am_the_pumpkin_king	Surprises	0	Ultra-Rare	If your Jack is in play, seize the Pumpkin King card and choose one of the card’s three activities. Every player in order may perform the chosen activity just as in the Start Phase. When finished, return the Pumpkin King card to its previous holder.
I Can't Believe My Eyes	ChristmasTown	i_cant_believe_my_eyes	Surprises	1	Rare	Every player must peek at the hand of the player to his left, and then force that player to discard 1 card of the peeking player’s choice.  Players with Jack in their Christmas Town may then Draw 1 Card.
I can't make decisions!	ChristmasTown	i_cant_make_decisions	Surprises	1	Uncommon	Search 6, Mayor OR If your Mayor is at the Mayor-mobile, peek at an opponent’s hand and reveal one card of your choice to all players. No player can play that Card Title for the remainder of this Round.
I never realized	Premiere	i_never_realized	Surprises	0	Common	Search 3, Jack, Sally OR If Jack and Sally are at the same Locale in your Halloweentown, Draw 2 Cards
I think I've got it	Tournament	i_think_ive_got_it	Surprises	0	Fixed	Search 6, House of Cards OR Flip the top card of your Main Deck face up. If it is a Surprise, discard it and all cards placed beneath your House of Cards. Otherwise, place the card face down beneath your House of Cards.
I told you!	Premiere	i_told_you	Surprises	1	Uncommon	Search 5, Lock, Shock, Barrel OR If Lock, Shock, and Barrel are at the same Locale in your Halloweentown, Stack this Surprise on Shock and Add 2p
I wanna do it!	Premiere	i_wanna_do_it	Surprises	1	Uncommon	Search 5, Lock, Shock, Barrel OR If Lock, Shock, and Barrel are at the same Locale in your Halloweentown, Stack this Surprise on Lock and force one opponent to discard a random card from his hand.
I want it for my own	ChristmasTown	i_want_it_for_my_own	Surprises	2	Common	If Jack is at an Active Locale in your Christmas Town with a Joy Threshold of 3 or higher, discard an opponent’s Creation from play.
Iggy the Elf	ChristmasTown	iggy	Character	0	Uncommon	When Iggy is played, if Jack is at his Locale, Add 1p
Igor	Premiere	igor	Character	1	Common	During your turn, you may discard Igor from play and then Move 2 Cards.
I'm not the dumb one	Premiere	im_not_the_dumb_one	Surprises	1	Uncommon	Search 5, Lock, Shock, Barrel OR If Lock, Shock, and Barrel are at the same Locale in your Halloweentown, Stack this Surprise on Barrel and Draw 1 Card.
I'm Santa Claus!	Premiere	im_santa_claus	Surprises	1	Ultra-Rare	Search 6, Sandy Claws OR Stack this card on your Sandy, and then, if Sandy is in Oogie’s Lair in your Halloweentown, discard an opponent’s Creation from play.
I'm the Boogie Man!	Premiere	im_the_boogie_man	Surprises	0	Common	Each player targets a Character with a Scare number of 1 belonging to the player on his left and sends the Character back into its owner’s hand. If Oogie is in any players’ Halloweentown, those players also Draw 1 Card.
It's a phase, my dear	Premiere	its_a_phase_my_dear	Surprises	0	Rare	Search 3, Finklestein, Sally OR If Finklestein and Sally are at the same Locale in your Halloweentown, Add 1p
It's Alive!	ChristmasTown	its_alive	Surprises	1	Rare	If Finklestein is at your Laboratory, Stack this Surprise on one of your Creations in play, and then place that Creation in your Laboratory.  That Creation is now considered both a Character and a Creation.
It's time to party!	Premiere	its_time_to_party	Surprises	1	Rare	Search 6, Devil OR If your Devil is in play, Draw 1 Card for every Creation in your Halloweentown.
It's Time You Begun	Premiere	its_time_you_begun	Surprises	0	Rare	Choose an inactive Locale in your Halloweentown. Discard a number of cards from your hand equal to the number of Scare Points still needed to activate that Locale, and then perform a Function on that Locale. You may still perform only one Function during your turn.
Jack in the Box	Premiere	jack_in_the_box	Creations	4	Uncommon	When this Creation is played, if the Clown is in your Halloweentown, you may Search 6, 1 Surprise
Jack Skellington - Demon of Light	Premiere	jack1	Character	6	Ultra-Rare	When Jack, Demon of Light, is played, the player(s) with the most Characters in play draw until they have 7 cards in their hands.
Jack Skellington - Explorer of Unknown Realms	ChristmasTown	jack4	Character	2	Common	May travel between Holiday Towns. HEX: Once during your turn, after Jack moves to a Christmas Town Locale, Add 1p
Jack Skellington - Master of Fright	Premiere	jack2	Character	5	Rare	When Jack, Master of Fright, is played, you must discard another Character at his Locale (or discard this card).
Jack Skellington - Motivational Spooker	ChristmasTown	jack5	Character	4	Ultra-Rare	During your turn, you may discard a card from your hand to move another Halloween Character at Jack’s Locale to an adjacent Locale.
Jack Skellington - Santa Jack	ChristmasTown	jack6	Character	3	Promo Card	Whenever you Stack a Surprise on a Creation, Draw 2 Cards.
Jack Skellington - The Pumpkin King	Premiere	jack3	Character	3	Common	-1 Cost at Jack’s House.
Jack's Bedroom	Premiere	jacks_bedroom	Locale	4	Uncommon	FUNCTION: Draw until you have a number of cards in your hand equal to your Starting Hand (as indicated on your Starting Locale).
Jack's House	Premiere	jacks_house	Locale	0*	Common	STARTING HAND: 7 Cards, FUNCTION: Draw 2 Cards, FUNCTION: Add 2p, FUNCTION: Move 4 Cards
Jewel	Premiere	jewel	Character	1	Rare	If Finklestein is about to be discarded while at the same Locale as Jewel, you may discard Jewel instead.
Jingle Bells	Premiere	jingle_bells	Creations	4	Common	This Creation is -1 Cost for each Character in your Halloweentown with the word “Player” in his name.
Jumbo Treat Bag	Premiere	jumbo_treat_bag	Creations	5	Common	-3 Cost if Lock, Shock, and Barrel are at the same Locale in your Halloweentown.
Juxtaposition	ChristmasTown	juxtaposition	Surprises	1	Uncommon	Add 1p for every Halloween Character (not including Jack, Lock, Shock, and Barrel) at an Active Locale in your Christmas Town (maximum of 4 Pumpkin Points).
Kidnap Mr. Sandy Claws	Premiere	kidnap_mr_sandy_claws	Surprises	1	Rare	Every player draws 1 card, plus an additional card for each of the following Characters in their Halloweentown: Lock, Shock, Barrel, Sandy Claws
Languid Larry	ChristmasTown	languid_larry	Character	0	Rare	When Larry is played, Draw 2 Cards if Nelly is at his Locale. Cannot Move.
Let's Play!	Premiere	lets_play	Surprises	1	Uncommon	Search 6, Sound of Rollin’ Dice OR If Oogie is in your Halloweentown, play this card after playing “Sound of Rollin’ Dice” to discard a second card from the top of the opponent’s deck. Add its Scare Number to the first card’s Scare Number.
Little Henchmen	ChristmasTown	little_henchmen	Surprises	1	Common	Search 6, Oogie, Lock, Shock, Barrel OR Search 6, Depraved Offering
Little Witch	Premiere	little_witch	Character	1	Uncommon	During your turn, you may Move the Little Witch to the same Locale as the Big Witch in your Halloweentown (for free).
Loading Zone	ChristmasTown	loading_zone	Locale	4	Common	BONUS: Whenever you perform a Function, you may Search 4, 1 Creation.
Lock - Impish Trick-or-Treater	Tournament	lock2	Character	1	Fixed	HEX: Once during your turn, after Lock moves to a Locale, you may discard 2 cards from your hand to force 1 player to discard a random card from his hand.
Lock - Little Devil	Premiere	lock1	Character	1	Common	During your turn, if Lock is at the Tree House, you may discard a copy of Lock from your hand to Search 3, Shock, Barrel
Lock - Savage Captor	ChristmasTown	lock3	Character	1	Uncommon	May travel between Holiday towns. During your turn, if Lock is at the Tree House, you may discard another Character there to Draw 1 Card.
Loco-motive	ChristmasTown	loco-motive	Creations	3	Common	If your Mummy Boy is in play when this Creation is played, you may immediately move 1 Character in any player’s Halloweentown to an adjacent Locale.
Look what you've done	Premiere	look_what_youve_done	Surprises	1	Ultra-Rare	Search 3, Jack OR Stack this card on your Jack or Sandy, and then, if an opponent’s Oogie is in play, send that Oogie to its owner’s hand.
Lovely!	ChristmasTown	lovely	Surprises	1	Uncommon	Search 4, Sally’s Leg OR If your Sally’s Leg is in play, place this Surprise on the table in front of an opponent. That opponent’s Surprises are +1 Cost. Discard this Surprise during the End Phase.
Mad Genius	Premiere	mad_genius	Surprises	1	Uncommon	Force an opponent to discard 1 random card from his hand. OR If Finklestein is at the Laboratory in your Halloweentown, peek at an opponent’s hand and discard 1 card of your choice.
Magical Journey	ChristmasTown	magical_journey	Surprises	0	Common	Move a Halloween Character from your Tree Circle to one of your Christmas Town Locales (or from one of your Christmas Town Locales to your Tree Circle). This Character is considered to have the text “May travel between Holiday Towns” during this Movement.
Making Christmas	Premiere	making_christmas	Surprises	0	Uncommon	All Creations are -1 Cost. All Characters are +1 Cost. Place this card in the center of the table. No other copies can be played while this is on the table. Discard during the End Phase.
Marie Antoinette Doll	Premiere	marie_antoinette	Creations	3	Common	When this Creation is played, if the Mummy Boy is in your Halloweentown, force one player to discard a random card from his hand.
Master! The Plans!	Premiere	master_the_plans	Surprises	1	Common	Search 5, Finklestein, Igor OR If Finklestein and Igor are at the same Locale in your Halloweentown, Draw 2 Cards
Mayor-mobile	Premiere	mayor-mobile	Locale	0*	Common	STARTING HAND: 6 Cards, FUNCTION: Draw 3 Cards, FUNCTION: Add 2p, FUNCTION: Move 5 Cards
Mellow Trio	Premiere	mellow_trio	Surprises	1	Common	Search 6, The “Players” OR Choose a Locale in your Halloweentown and Draw 1 Card for every Character at that Locale with the word “Player” in his name.
Mirror, Mirror	ChristmasTown	mirror_mirror	Surprises	0	Promo Card	During an opponent’s turn, play this card after one of your Characters is discarded from play to discard from play any one of that opponent’s Characters with an equal or lower Scare Number.
Mission of Menace	ChristmasTown	mission_of_menace	Surprises	1	Uncommon	If your Lock, Shock, and Barrel are at the same Christmas Town Locale, move them and any number of other Characters at the same Locale to your Tree House. These Characters may all “travel between Holiday Towns.”
Mistletoe	ChristmasTown	mistletoe	Surprises	0	Common	Search 6, Elves OR Discard 2 Elves who are at the same Locale in an opponent’s Christmas Town.
Monster Under the Bed	Premiere	monster_under_bed	Character	3	Uncommon	Cannot Move. Whenever a Function at his Locale is performed, you may discard 1 card from your hand to Add 1p
Monster Under the Stairs	Premiere	monster_under_stairs	Character	2	Uncommon	Whenever a Function at his Locale is performed, you may discard 1 card from your hand to Draw 1 Card.
Moody Mayor	Premiere	moody_mayor	Surprises	0	Common	Search 3, Mayor, Lock, Shock, Barrel OR Double the Mayor’s Scare Number when determining if his current Locale is Active.
Morning Rounds	ChristmasTown	morning_rounds	Surprises	0	Rare	Search 6, Mayor OR If your Mayor-mobile is in play, switch the positions of two Locales in your Halloweentown, making sure that all Characters remain with their current Locales.
Most Blood Drained	ChristmasTown	most_blood_drained	Surprises	1	Uncommon	Search 4, Vampires OR Return one of your Vampires in play to your hand, and then discard an opponent’s Character with a Scare Number of 3 of less from play.
Mournful Howl	Premiere	mournful_howl	Surprises	1	Rare	Search 6, Wolfman OR If your Wolfman is in play, reveal a Character in your discard pile and draw a number of cards equal to that Character’s Scare Number (maximum of 4 cards).
Mr. Hyde	Premiere	mr_hyde	Character	1	Common	During your turn, you may send Mr. Hyde into your hand and then peek at an opponent’s hand.
Mr. Hyde II	Premiere	mr_hyde_ii	Character	1	Uncommon	During your turn, you may send Mr. Hyde II into your hand and then discard 1 card from your hand to Draw 1 Card.
